Depot,PMPML_Buses_Held,Hire_Buses,Total_Buses_Held,PMPML_On_Road,Hire_On_Road,Total_On_Road,Schedules_Sanctioned_PMPML,Schedules_Sanctioned_Hire,Total_Schedules_Sanctioned,Schedules_Operated_PMPML,Schedules_Operated_Hire,Total_Schedules_Operated,Revenue_Yearly,Ridership_Yearly,Revenue_Daily,Ridership_Daily
Swargate,184,24,208,67,0,67,131,21,153,64,0,64,86722996,6568164,240897,18245
N.T.Wadi,196,79,275,75,18,93,137,69,207,69,18,87,159580543,12086197,443279,33573
Kothrud,163,58,221,46,14,60,102,51,153,44,14,58,97989563,7421463,272193,20615
Katraj,161,88,248,56,17,73,127,78,205,54,17,71,159919776,12111889,444222,33644
Hadapsar,161,22,183,50,9,59,111,19,131,46,9,55,127229121,9635988,353414,26767
Upper Depot,100,20,120,30,1,31,65,18,83,30,1,31,69164293,5238316,192123,14551
Pune Station,134,14,148,45,12,57,122,15,137,43,12,55,89422114,6772588,248395,18813
Nigadi,71,182,253,33,48,81,31,163,194,33,48,81,173392625,13132286,481646,36479
Bhosari,48,77,125,24,27,52,34,69,103,24,28,52,118294217,8959283,328595,24887
Pimpri,122,51,173,47,14,61,77,45,123,43,14,57,94609586,7165473,262804,19904
Bhekrai Nagar,20,105,125,26,25,51,16,90,105,20,25,45,90505963,6854676,251405,19041
Shewalwadi,82,15,97,21,4,24,51,15,66,20,3,22,47949111,3631535,133192,10088
Balewadi,83,0,83,19,0,19,46,0,46,18,0,18,28966263,2193826,80462,6094
