Statistics Type,Category,Percent,Total Households (From 4896)
Ownership,Rent,36.00%,1749.60
Ownership,Govt. Quarter,1.00%,48.60
Ownership,Company Given,1.00%,48.60
Ownership,Owned,62.00%,3013.20
Ownership,Others,0.00%,0.00
Residence Area (sq. m),500 – 750,12.00%,583.20
Residence Area (sq. m),750 – 1000,12.00%,583.20
Residence Area (sq. m),1000 – 1500,4.00%,194.40
Residence Area (sq. m),>1500,0.00%,0.00
Residence Area (sq. m),<250,41.00%,1992.60
Residence Area (sq. m),250 – 500,31.00%,1506.60
Type of Building,Farm,1.00%,48.60
Type of Building,Others,9.00%,437.40
Type of Building,Apartment,21.00%,1020.60
Type of Building,Independent,69.00%,3353.40
