Year,Vehicle_Type,Count
2000-2001,Motor_Cycles,88909
2000-2001,Scooters,70220
2000-2001,Moped,27385
2000-2001,Cars,15511
2000-2001,Jeeps,7987
2000-2001,Stn_Wagons,72
2000-2001,Taxi_w_meter,536
2000-2001,Luxury_Tourist_Cabs,0
2000-2001,Auto_rickshaw,4816
2000-2001,Stage_carriages,349
2000-2001,Mini_Bus,394
2000-2001,School_Buses,13
2000-2001,Private_Service_Vehicles,826
2000-2001,Ambulances,206
2000-2001,Articulated_Multi,0
2000-2001,Trucks/Lorries,4108
2000-2001,Tanker,290
2000-2001,Delivery_Van_4_wheelers,5565
2000-2001,Delivery_Van_3_wheelers,4646
2000-2001,Tractors,3848
2000-2001,Trailers,1923
2000-2001,Others,156
2001-2002,Motor_Cycles,107289
2001-2002,Scooters,74392
2001-2002,Moped,30156
2001-2002,Cars,18467
2001-2002,Jeeps,8757
2001-2002,Stn_Wagons,72
2001-2002,Taxi_w_meter,587
2001-2002,Luxury_Tourist_Cabs,0
2001-2002,Auto_rickshaw,5288
2001-2002,Stage_carriages,349
2001-2002,Mini_Bus,397
2001-2002,School_Buses,27
2001-2002,Private_Service_Vehicles,826
2001-2002,Ambulances,215
2001-2002,Articulated_Multi,0
2001-2002,Trucks/Lorries,4285
2001-2002,Tanker,290
2001-2002,Delivery_Van_4_wheelers,5787
2001-2002,Delivery_Van_3_wheelers,4915
2001-2002,Tractors,4192
2001-2002,Trailers,2134
2001-2002,Others,160
2002-2003,Motor_Cycles,128319
2002-2003,Scooters,76008
2002-2003,Moped,32474
2002-2003,Cars,20385
2002-2003,Jeeps,9122
2002-2003,Stn_Wagons,72
2002-2003,Taxi_w_meter,663
2002-2003,Luxury_Tourist_Cabs,0
2002-2003,Auto_rickshaw,5415
2002-2003,Stage_carriages,349
2002-2003,Mini_Bus,424
2002-2003,School_Buses,26
2002-2003,Private_Service_Vehicles,499
2002-2003,Ambulances,224
2002-2003,Articulated_Multi,0
2002-2003,Trucks/Lorries,4363
2002-2003,Tanker,290
2002-2003,Delivery_Van_4_wheelers,6347
2002-2003,Delivery_Van_3_wheelers,5565
2002-2003,Tractors,4514
2002-2003,Trailers,2272
2002-2003,Others,168
2003-2004,Motor_Cycles,155866
2003-2004,Scooters,77776
2003-2004,Moped,35568
2003-2004,Cars,23274
2003-2004,Jeeps,9700
2003-2004,Stn_Wagons,70
2003-2004,Taxi_w_meter,950
2003-2004,Luxury_Tourist_Cabs,0
2003-2004,Auto_rickshaw,5494
2003-2004,Stage_carriages,362
2003-2004,Mini_Bus,465
2003-2004,School_Buses,40
2003-2004,Private_Service_Vehicles,410
2003-2004,Ambulances,235
2003-2004,Articulated_Multi,0
2003-2004,Trucks/Lorries,4422
2003-2004,Tanker,285
2003-2004,Delivery_Van_4_wheelers,7081
2003-2004,Delivery_Van_3_wheelers,6337
2003-2004,Tractors,4741
2003-2004,Trailers,2404
2003-2004,Others,173
2004-2005,Motor_Cycles,183312
2004-2005,Scooters,80179
2004-2005,Moped,38049
2004-2005,Cars,27209
2004-2005,Jeeps,10140
2004-2005,Stn_Wagons,70
2004-2005,Taxi_w_meter,1794
2004-2005,Luxury_Tourist_Cabs,0
2004-2005,Auto_rickshaw,5700
2004-2005,Stage_carriages,480
2004-2005,Mini_Bus,625
2004-2005,School_Buses,42
2004-2005,Private_Service_Vehicles,445
2004-2005,Ambulances,248
2004-2005,Articulated_Multi,0
2004-2005,Trucks/Lorries,4961
2004-2005,Tanker,294
2004-2005,Delivery_Van_4_wheelers,7764
2004-2005,Delivery_Van_3_wheelers,7180
2004-2005,Tractors,4889
2004-2005,Trailers,2473
2004-2005,Others,228
2005-2006,Motor_Cycles,216150
2005-2006,Scooters,85760
2005-2006,Moped,38644
2005-2006,Cars,33339
2005-2006,Jeeps,11521
2005-2006,Stn_Wagons,65
2005-2006,Taxi_w_meter,2644
2005-2006,Luxury_Tourist_Cabs,0
2005-2006,Auto_rickshaw,5944
2005-2006,Stage_carriages,550
2005-2006,Mini_Bus,881
2005-2006,School_Buses,45
2005-2006,Private_Service_Vehicles,442
2005-2006,Ambulances,268
2005-2006,Articulated_Multi,0
2005-2006,Trucks/Lorries,5814
2005-2006,Tanker,294
2005-2006,Delivery_Van_4_wheelers,8527
2005-2006,Delivery_Van_3_wheelers,9122
2005-2006,Tractors,5322
2005-2006,Trailers,2678
2005-2006,Others,335
2006-2007,Motor_Cycles,256462
2006-2007,Scooters,93178
2006-2007,Moped,38999
2006-2007,Cars,41154
2006-2007,Jeeps,12330
2006-2007,Stn_Wagons,65
2006-2007,Taxi_w_meter,4283
2006-2007,Luxury_Tourist_Cabs,0
2006-2007,Auto_rickshaw,6000
2006-2007,Stage_carriages,600
2006-2007,Mini_Bus,1145
2006-2007,School_Buses,45
2006-2007,Private_Service_Vehicles,442
2006-2007,Ambulances,296
2006-2007,Articulated_Multi,0
2006-2007,Trucks/Lorries,7515
2006-2007,Tanker,299
2006-2007,Delivery_Van_4_wheelers,9732
2006-2007,Delivery_Van_3_wheelers,11126
2006-2007,Tractors,5905
2006-2007,Trailers,2985
2006-2007,Others,494
2007-2008,Motor_Cycles,305855
2007-2008,Scooters,93635
2007-2008,Moped,38679
2007-2008,Cars,52592
2007-2008,Jeeps,13086
2007-2008,Stn_Wagons,65
2007-2008,Taxi_w_meter,0
2007-2008,Luxury_Tourist_Cabs,5538
2007-2008,Auto_rickshaw,5926
2007-2008,Stage_carriages,550
2007-2008,Mini_Bus,1751
2007-2008,School_Buses,49
2007-2008,Private_Service_Vehicles,460
2007-2008,Ambulances,337
2007-2008,Articulated_Multi,0
2007-2008,Trucks/Lorries,9208
2007-2008,Tanker,445
2007-2008,Delivery_Van_4_wheelers,10976
2007-2008,Delivery_Van_3_wheelers,13115
2007-2008,Tractors,6665
2007-2008,Trailers,3325
2007-2008,Others,628
2008-2009,Motor_Cycles,354005
2008-2009,Scooters,93619
2008-2009,Moped,38672
2008-2009,Cars,64185
2008-2009,Jeeps,13603
2008-2009,Stn_Wagons,65
2008-2009,Taxi_w_meter,0
2008-2009,Luxury_Tourist_Cabs,6557
2008-2009,Auto_rickshaw,6018
2008-2009,Stage_carriages,623
2008-2009,Mini_Bus,2105
2008-2009,School_Buses,52
2008-2009,Private_Service_Vehicles,464
2008-2009,Ambulances,365
2008-2009,Articulated_Multi,0
2008-2009,Trucks/Lorries,10277
2008-2009,Tanker,558
2008-2009,Delivery_Van_4_wheelers,12185
2008-2009,Delivery_Van_3_wheelers,14709
2008-2009,Tractors,7596
2008-2009,Trailers,3502
2008-2009,Others,816
2009-2010,Motor_Cycles,405260
2009-2010,Scooters,93674
2009-2010,Moped,38986
2009-2010,Cars,76246
2009-2010,Jeeps,14022
2009-2010,Stn_Wagons,78
2009-2010,Taxi_w_meter,0
2009-2010,Luxury_Tourist_Cabs,7455
2009-2010,Auto_rickshaw,6273
2009-2010,Stage_carriages,793
2009-2010,Mini_Bus,2462
2009-2010,School_Buses,57
2009-2010,Private_Service_Vehicles,474
2009-2010,Ambulances,399
2009-2010,Articulated_Multi,0
2009-2010,Trucks/Lorries,11194
2009-2010,Tanker,716
2009-2010,Delivery_Van_4_wheelers,14558
2009-2010,Delivery_Van_3_wheelers,16876
2009-2010,Tractors,9072
2009-2010,Trailers,3817
2009-2010,Others,1064
2010-2011,Motor_Cycles,480654
2010-2011,Scooters,93602
2010-2011,Moped,38980
2010-2011,Cars,96833
2010-2011,Jeeps,14490
2010-2011,Stn_Wagons,78
2010-2011,Taxi_w_meter,0
2010-2011,Luxury_Tourist_Cabs,8985
2010-2011,Auto_rickshaw,6584
2010-2011,Stage_carriages,1060
2010-2011,Mini_Bus,3065
2010-2011,School_Buses,57
2010-2011,Private_Service_Vehicles,474
2010-2011,Ambulances,438
2010-2011,Articulated_Multi,0
2010-2011,Trucks/Lorries,12715
2010-2011,Tanker,889
2010-2011,Delivery_Van_4_wheelers,17668
2010-2011,Delivery_Van_3_wheelers,19303
2010-2011,Tractors,10540
2010-2011,Trailers,4107
2010-2011,Others,1585
2011-2012,Motor_Cycles,564595
2011-2012,Scooters,93519
2011-2012,Moped,37559
2011-2012,Cars,119293
2011-2012,Jeeps,14456
2011-2012,Stn_Wagons,67
2011-2012,Taxi_w_meter,0
2011-2012,Luxury_Tourist_Cabs,10961
2011-2012,Auto_rickshaw,6727
2011-2012,Stage_carriages,1501
2011-2012,Mini_Bus,3591
2011-2012,School_Buses,195
2011-2012,Private_Service_Vehicles,445
2011-2012,Ambulances,490
2011-2012,Articulated_Multi,0
2011-2012,Trucks/Lorries,14427
2011-2012,Tanker,915
2011-2012,Delivery_Van_4_wheelers,20758
2011-2012,Delivery_Van_3_wheelers,20734
2011-2012,Tractors,11707
2011-2012,Trailers,4221
2011-2012,Others,1968
2012-2013,Motor_Cycles,647691
2012-2013,Scooters,93528
2012-2013,Moped,37549
2012-2013,Cars,143857
2012-2013,Jeeps,14439
2012-2013,Stn_Wagons,59
2012-2013,Taxi_w_meter,0
2012-2013,Luxury_Tourist_Cabs,13177
2012-2013,Auto_rickshaw,7042
2012-2013,Stage_carriages,2040
2012-2013,Mini_Bus,4098
2012-2013,School_Buses,256
2012-2013,Private_Service_Vehicles,482
2012-2013,Ambulances,578
2012-2013,Articulated_Multi,0
2012-2013,Trucks/Lorries,15413
2012-2013,Tanker,934
2012-2013,Delivery_Van_4_wheelers,23798
2012-2013,Delivery_Van_3_wheelers,21804
2012-2013,Tractors,12739
2012-2013,Trailers,4312
2012-2013,Others,2188
2013-2014,Motor_Cycles,712816
2013-2014,Scooters,111551
2013-2014,Moped,37547
2013-2014,Cars,164280
2013-2014,Jeeps,14541
2013-2014,Stn_Wagons,60
2013-2014,Taxi_w_meter,0
2013-2014,Luxury_Tourist_Cabs,14666
2013-2014,Auto_rickshaw,5388
2013-2014,Stage_carriages,2635
2013-2014,Mini_Bus,4746
2013-2014,School_Buses,302
2013-2014,Private_Service_Vehicles,489
2013-2014,Ambulances,950
2013-2014,Articulated_Multi,3
2013-2014,Trucks/Lorries,15346
2013-2014,Tanker,1646
2013-2014,Delivery_Van_4_wheelers,25803
2013-2014,Delivery_Van_3_wheelers,22449
2013-2014,Tractors,14126
2013-2014,Trailers,4099
2013-2014,Others,2340
2014-2015,Motor_Cycles,777119
2014-2015,Scooters,144848
2014-2015,Moped,37591
2014-2015,Cars,187495
2014-2015,Jeeps,16654
2014-2015,Stn_Wagons,60
2014-2015,Taxi_w_meter,0
2014-2015,Luxury_Tourist_Cabs,17075
2014-2015,Auto_rickshaw,6220
2014-2015,Stage_carriages,2922
2014-2015,Mini_Bus,5449
2014-2015,School_Buses,365
2014-2015,Private_Service_Vehicles,520
2014-2015,Ambulances,1472
2014-2015,Articulated_Multi,3
2014-2015,Trucks/Lorries,15939
2014-2015,Tanker,1709
2014-2015,Delivery_Van_4_wheelers,27349
2014-2015,Delivery_Van_3_wheelers,24049
2014-2015,Tractors,15719
2014-2015,Trailers,4109
2014-2015,Others,2859
2015-2016,Motor_Cycles,845067
2015-2016,Scooters,185043
2015-2016,Moped,37591
2015-2016,Cars,212188
2015-2016,Jeeps,15614
2015-2016,Stn_Wagons,60
2015-2016,Taxi_w_meter,0
2015-2016,Luxury_Tourist_Cabs,20685
2015-2016,Auto_rickshaw,5688
2015-2016,Stage_carriages,3697
2015-2016,Mini_Bus,6030
2015-2016,School_Buses,313
2015-2016,Private_Service_Vehicles,589
2015-2016,Ambulances,1563
2015-2016,Articulated_Multi,9
2015-2016,Trucks/Lorries,16023
2015-2016,Tanker,1448
2015-2016,Delivery_Van_4_wheelers,28760
2015-2016,Delivery_Van_3_wheelers,24740
2015-2016,Tractors,16498
2015-2016,Trailers,4109
2015-2016,Others,3586
2016-2017,Motor_Cycles,899676
2016-2017,Scooters,230839
2016-2017,Moped,37618
2016-2017,Cars,235610
2016-2017,Jeeps,19130
2016-2017,Stn_Wagons,60
2016-2017,Taxi_w_meter,0
2016-2017,Luxury_Tourist_Cabs,24366
2016-2017,Auto_rickshaw,6280
2016-2017,Stage_carriages,3704
2016-2017,Mini_Bus,6600
2016-2017,School_Buses,379
2016-2017,Private_Service_Vehicles,642
2016-2017,Ambulances,1645
2016-2017,Articulated_Multi,9
2016-2017,Trucks/Lorries,16554
2016-2017,Tanker,1493
2016-2017,Delivery_Van_4_wheelers,31054
2016-2017,Delivery_Van_3_wheelers,25881
2016-2017,Tractors,17177
2016-2017,Trailers,4109
2016-2017,Others,3885
2017-2018,Motor_Cycles,970053
2017-2018,Scooters,279645
2017-2018,Moped,37618
2017-2018,Cars,260752
2017-2018,Jeeps,22545
2017-2018,Stn_Wagons,60
2017-2018,Taxi_w_meter,0
2017-2018,Luxury_Tourist_Cabs,27751
2017-2018,Auto_rickshaw,8572
2017-2018,Stage_carriages,3704
2017-2018,Mini_Bus,6969
2017-2018,School_Buses,490
2017-2018,Private_Service_Vehicles,706
2017-2018,Ambulances,1693
2017-2018,Articulated_Multi,118
2017-2018,Trucks/Lorries,17452
2017-2018,Tanker,1561
2017-2018,Delivery_Van_4_wheelers,35705
2017-2018,Delivery_Van_3_wheelers,26511
2017-2018,Tractors,18671
2017-2018,Trailers,4109
2017-2018,Others,3893
