depot,latitude,longitude
Balewadi,18.5745442748001,73.7654079153428
Baner,18.5660714708243,73.7685480681053
Bhekrai Nagar,18.484696764414,73.9527875543392
Bhosari,18.6323039550591,73.8499157781727
Charholi,18.6246469972165,73.9179093843569
Hadapsar,18.5020895286384,73.9390135601609
Katraj,18.4559003503972,73.8570970630981
Kothrud,18.5067770488488,73.795436721532
Maan,18.5889768556596,73.7050803227441
Nigadi,18.6653742309296,73.7706915589118
N.T.Wadi,18.5342703854413,73.8484728215868
Pimpri,18.6151157520299,73.81643267628
Pune Station,18.5269033389968,73.8770512070393
Shewalwadi,18.4956380767211,73.9714624408463
Swargate,18.5005776721394,73.8613335342446
Upper Depot,18.460617637013,73.872271608152
M.Yard,18.460617637013,73.872271608152
Wagholi,18.5814923003466,73.9872849493851
